Year,Stage,team1,team2,score1,score2,time,date,Penalty1,Penalty2
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,پرسپولیس,ماشین‌سازی‌تبریز,1,0,15:00,1398/07/08,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,صنعت نفت آبادان,قشقایی شیراز,2,1,15:00,1398/07/07,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,مس نوین کرمان,استقلال ماهشهر,1,2,16:00,1398/07/08,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,شهرداری ماهشهر,سردار بوکان,2,1,15:00,1398/07/09,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,سپاهان,خیبر خرم‌آباد,3,0,16:30,1398/07/08,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,شهدای رزکان کرج,پیکان,0,4,17:15,1398/07/08,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,فولاد,فجر سپاسی,2,2,15:00,1398/07/08,3,2
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,استقلال,گل ریحان البرز,3,1,18:15,1398/07/08,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,شهر خودرو,نساجی مازندران,1,0,15:30,1398/07/07,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,نفت‌ مسجدسلیمان,گل گهرسیرجان,1,0,16:20,1398/07/07,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,شاهین شهرداری‌بوشهر,خوشه طلایی ساوه,3,3,17:15,1398/07/08,1,3
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,داماش گیلان,سایپا,1,2,17:15,1398/07/07,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,تراکتور,پاس,2,1,15:30,1398/07/07,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,نود ارومیه,نیروی زمینی,2,0,15:30,1398/07/07,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,ذوب آهن,پارس جنوبی جم,2,1,18:30,1398/07/08,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/16 نهایی  ,بادران تهران,مس کرمان,1,1,15:00,1398/07/06,4,2
جام حذفی ایران 98-99,جام حذفی ایران 1/8 نهایی  ,صنعت نفت آبادان,پرسپولیس,0,1,16:15,1398/09/05,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/8 نهایی  ,استقلال ماهشهر,شهرداری ماهشهر,1,2,15:30,1398/07/25,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/8 نهایی  ,پیکان,سپاهان,1,2,16:20,1398/09/05,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/8 نهایی  ,فجر سپاسی,استقلال,0,3,16:50,1398/07/25,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/8 نهایی  ,نفت‌ مسجدسلیمان,شهر خودرو,1,0,16:20,1398/07/24,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/8 نهایی  ,سایپا,شاهین شهرداری‌بوشهر,0,2,18:00,1398/07/24,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/8 نهایی  ,تراکتور,نود ارومیه,1,1,14:00,1398/09/05,6,7
جام حذفی ایران 98-99,جام حذفی ایران 1/8 نهایی  ,مس کرمان,ذوب آهن,4,2,16:50,1398/07/24,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/4 نهایی  ,پرسپولیس,شهرداری ماهشهر,2,0,15:00,1398/10/02,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/4 نهایی  ,سپاهان,استقلال,0,2,20:30,1399/05/20,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/4 نهایی  ,شاهین شهرداری‌بوشهر,نفت‌ مسجدسلیمان,2,3,16:45,1398/10/02,0,0
جام حذفی ایران 98-99,جام حذفی ایران 1/4 نهایی  ,مس کرمان,تراکتور,1,4,15:00,1398/11/30,0,0
جام حذفی ایران 98-99,جام حذفی ایران نیمه نهایی  ,استقلال,پرسپولیس,2,2,19:00,1399/06/05,1,4
جام حذفی ایران 98-99,جام حذفی ایران نیمه نهایی  ,نفت‌ مسجدسلیمان,تراکتور,0,1,19:30,1399/06/04,0,0
جام حذفی ایران 98-99,جام حذفی ایران فینال  ,تراکتور,استقلال,3,2,18:15,1399/06/13,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,مقاومت تهران,هوادار,1,0,18:40,1397/06/24,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,داماش گیلان,چوکا تالش,0,0,16:30,1397/06/24,3,4
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,پارس جنوبی جم,پیکان,0,0,18:40,1397/06/23,5,6
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,ماشین‌سازی‌تبریز,ستاره کاسپین بابل,2,1,17:00,1397/06/23,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,استقلال,نفت‌ مسجدسلیمان,1,0,20:45,1397/07/10,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,سردار بوکان,سایپا,1,2,18:40,1397/06/22,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,تراکتور,صنعت نفت آبادان,3,3,20:00,1397/06/23,4,3
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,شاهین انزلی,استقلال خوزستان,0,2,18:50,1397/06/21,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,مس کرمان,پدیده ملک شاهی ایلام,5,0,17:00,1397/06/23,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,خونه به خونه,سیراف کنگان,0,1,17:00,1397/06/23,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,شهرداری ماهشهر,سپاهان,1,3,17:30,1397/06/23,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,شاهین لردگان,نساجی مازندران,0,5,18:45,1397/06/26,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,مس شهر بابک,فولاد,0,7,18:50,1397/06/24,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,پدیده شهرخودرو,ذوب آهن,2,1,18:30,1397/06/22,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,نود ارومیه,پرسپولیس,0,1,18:00,1397/07/26,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/16 نهایی  ,سپیدرود رشت,ملوان,1,0,16:30,1397/06/23,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/8 نهایی  ,داماش گیلان,مقاومت تهران,2,0,14:45,1397/07/12,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/8 نهایی  ,ماشین‌سازی‌تبریز,پارس جنوبی جم,2,1,17:15,1397/07/14,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/8 نهایی  ,سایپا,استقلال,2,2,16:30,1397/08/10,1,3
جام حذفی ایران 97-98,جام حذفی ایران 1/8 نهایی  ,صنعت نفت آبادان,استقلال خوزستان,5,2,18:30,1397/07/12,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/8 نهایی  ,سیراف کنگان,مس کرمان,2,5,16:45,1397/07/13,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/8 نهایی  ,نساجی مازندران,سپاهان,1,1,18:15,1397/07/13,4,3
جام حذفی ایران 97-98,جام حذفی ایران 1/8 نهایی  ,فولاد,پدیده شهرخودرو,2,3,16:35,1397/07/13,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/8 نهایی  ,پرسپولیس,سپیدرود رشت,1,0,15:00,1397/11/11,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/4 نهایی  ,داماش گیلان,ماشین‌سازی‌تبریز,1,1,14:45,1397/08/09,2,3
جام حذفی ایران 97-98,جام حذفی ایران 1/4 نهایی  ,سایپا,صنعت نفت آبادان,3,1,16:30,1397/09/16,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/4 نهایی  ,سپاهان,مس کرمان,0,0,16:15,1397/08/11,8,9
جام حذفی ایران 97-98,جام حذفی ایران 1/4 نهایی  ,پدیده شهرخودرو,پرسپولیس,1,1,17:15,1397/11/29,3,1
جام حذفی ایران 97-98,جام حذفی ایران 1/2 نهایی  ,سایپا,داماش گیلان,1,2,16:00,1397/11/09,0,0
جام حذفی ایران 97-98,جام حذفی ایران 1/2 نهایی  ,پرسپولیس,سپاهان,1,0,21:00,1398/03/08,0,0
جام حذفی ایران 97-98,جام حذفی ایران فینال  ,پرسپولیس,داماش گیلان,1,0,23:20,1398/03/12,0,0
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,نفت تهران,پرسپولیس,0,2,16:45,1396/07/29,0,0
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,پیکان,بادران تهران,1,3,16:45,1396/06/18,0,0
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,سیراف کنگان,داماش گیلان,0,1,17:45,1396/06/16,0,0
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,صنعت نفت آبادان,سپاهان,1,0,18:45,1396/06/16,0,0
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,گل ابریشم,نیروی زمینی,4,0,17:00,1396/06/17,0,0
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,ایران جوان بوشهر,فولاد,1,0,20:00,1396/06/18,0,0
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,نساجی مازندران,پارس جنوبی جم,0,0,20:00,1396/06/17,3,4
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,استقلال,گل گهرسیرجان,2,1,17:45,1396/06/17,0,0
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,فجر سپاسی,ذوب آهن,1,1,18:45,1396/06/17,2,4
جام حذفی ایران 96-97,جام حذفی ایران 1/16 نهایی  ,تراکتور,پدیده شهرخودرو,2,1,18:15,1396/06/16,0,0
