Year,Competition,تیم,بازی,برد,باخت,گل زده,گل خورده,تفاضل گل,امتیاز
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,شهرداری گرگان,26,24,2,1850,1413,437,50
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,پتروشیمی ب.ا,26,21,5,1929,1514,415,47
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,شیمیدر,26,20,6,2108,1831,277,46
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,پالایش نفت آبادان,26,20,6,1948,1718,230,46
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,مهرام,26,19,7,1943,1697,246,45
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,آویژه صنعت مشهد,26,18,8,2010,1866,144,44
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,اکسون,26,12,14,1935,1933,2,38
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,شهرداری بندرعباس,26,11,15,1797,1881,-84,37
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,ذوب آهن,26,11,15,1789,1872,-83,36
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,توفارقان آذرشهر,26,7,19,1575,1710,-135,33
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,مس کرمان,26,6,20,1731,2079,-348,32
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,شورا و شهرداری قزوین,26,5,21,1805,2055,-250,31
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,رعد پدافند شهرکرد,26,5,21,1667,2067,-400,31
1398,آرشیو جدول های لیگ برتر بسکتبال ایران,نیروی زمینی,26,3,23,1537,1990,-453,28
1397,آرشیو جدول های لیگ برتر بسکتبال ایران,پتروشیمی ب.ا,16,15,1,1388,972,416,31
1397,آرشیو جدول های لیگ برتر بسکتبال ایران,شیمیدر,16,14,2,1209,1000,209,30
1397,آرشیو جدول های لیگ برتر بسکتبال ایران,شهرداری گرگان,16,11,5,1148,1101,47,27
1397,آرشیو جدول های لیگ برتر بسکتبال ایران,پالایش نفت آبادان,16,11,5,1171,1047,124,27
