Year,Competition,تيم,بازيها,برد,مساوی,باخت,گل زده,گل خورده,تفاضل گل,امتياز
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,گل گهرسیرجان,2,2,0,0,5,1,4,6
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,نساجی مازندران,2,1,1,0,4,1,3,4
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,فولاد,2,1,1,0,4,3,1,4
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,پرسپولیس,2,1,1,0,1,0,1,4
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,شهر خودرو,1,1,0,0,3,0,3,3
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,استقلال,2,1,0,1,3,2,1,3
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,صنعت نفت آبادان,2,1,0,1,2,2,0,3
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,سپاهان,2,1,0,1,2,3,-1,3
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,ذوب آهن,2,0,2,0,3,3,0,2
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,تراکتور,2,0,2,0,1,1,0,2
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,سایپا,2,0,2,0,1,1,0,2
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,نفت‌ مسجدسلیمان,2,0,2,0,1,1,0,2
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,ماشین‌سازی‌تبریز,2,0,1,1,1,4,-3,1
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,پیکان,1,0,0,1,1,2,-1,0
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,آلومینیوم اراک,2,0,0,2,0,4,-4,0
لیگ برتر (99-00),آرشیو جدول های لیگ برتر ایران,مس رفسنجان,2,0,0,2,0,4,-4,0
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,پرسپولیس,30,21,4,5,46,17,29,67
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,استقلال,30,14,11,5,55,31,24,53
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,فولاد,30,14,9,7,28,19,9,51
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,تراکتور,30,14,8,8,31,23,8,50
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,سپاهان,30,12,13,5,39,22,17,49
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,شهر خودرو,30,12,10,8,27,25,2,46
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,صنعت نفت آبادان,30,11,8,11,29,33,-4,41
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,نفت‌ مسجدسلیمان,30,7,17,6,24,22,2,38
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,نساجی مازندران,30,8,14,8,30,32,-2,38
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,گل گهرسیرجان,30,7,12,11,27,34,-7,33
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,ماشین‌سازی‌تبریز,30,8,7,15,28,40,-12,31
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,ذوب آهن,30,7,9,14,31,39,-8,30
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,پیکان,30,6,11,13,38,44,-6,29
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,سایپا,30,5,14,11,24,35,-11,29
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,پارس جنوبی جم,30,4,15,11,20,30,-10,27
لیگ برتر (98-99),آرشیو جدول های لیگ برتر ایران,شاهین شهرداری‌بوشهر,30,4,10,16,26,57,-31,22
لیگ برتر (97-98),آرشیو جدول های لیگ برتر ایران,پرسپولیس,30,16,13,1,36,14,22,61
لیگ برتر (97-98),آرشیو جدول های لیگ برتر ایران,سپاهان,30,15,13,2,46,20,26,58
