Year,Competition,تيم,امتياز,بازی,برد,باخت,30,31,32,23,13,03,برده,برده,باخته,باخته,معدل,معدل,برده,برده,باخته,باخته,معدل,معدل
2017 (سطح A),لیگ جهانی والیبال,فرانسه,25,9,8,1,4,4,,1,,,26,792,7,673,3.714,1.177,26,792,7,673,3.714,1.177
2017 (سطح A),لیگ جهانی والیبال,برزیل,19,9,6,3,1,5,,1,2,,22,817,14,786,1.571,1.039,22,817,14,786,1.571,1.039
2017 (سطح A),لیگ جهانی والیبال,صربستان,18,9,6,3,2,3,1,1,1,1,21,797,14,767,1.500,1.039,21,797,14,767,1.500,1.039
2017 (سطح A),لیگ جهانی والیبال,روسیه,14,9,5,4,3,,2,1,2,1,19,787,16,775,1.188,1.015,19,787,16,775,1.188,1.015
2017 (سطح A),لیگ جهانی والیبال,کانادا,12,9,5,4,,2,3,,3,1,18,844,20,858,0.900,0.984,18,844,20,858,0.900,0.984
2017 (سطح A),لیگ جهانی والیبال,آمریکا,14,9,4,5,3,1,,2,3,,19,816,16,804,1.188,1.015,19,816,16,804,1.188,1.015
2017 (سطح A),لیگ جهانی والیبال,بلژیک,14,9,4,5,1,2,1,3,,2,18,808,19,820,0.947,0.985,18,808,19,820,0.947,0.985
2017 (سطح A),لیگ جهانی والیبال,لهستان,12,9,4,5,1,2,1,1,3,1,17,806,19,801,0.895,1.006,17,806,19,801,0.895,1.006
2017 (سطح A),لیگ جهانی والیبال,بلغارستان,10,9,4,5,,1,3,1,2,2,16,819,22,861,0.727,0.951,16,819,22,861,0.727,0.951
2017 (سطح A),لیگ جهانی والیبال,آرژانتین,11,9,3,6,,2,1,3,,3,15,800,22,837,0.682,0.956,15,800,22,837,0.682,0.956
2017 (سطح A),لیگ جهانی والیبال,ایران,7,9,3,6,,1,2,,2,4,11,739,23,795,0.478,0.93,11,739,23,795,0.478,0.93
2017 (سطح A),لیگ جهانی والیبال,ایتالیا,6,9,2,7,1,,1,1,5,1,13,798,23,846,0.565,0.943,13,798,23,846,0.565,0.943
2016 (سطح A),لیگ جهانی والیبال,برزیل,31,13,11,2,5,4,2,,1,1,34,1155,14,1021,2.429,1.131,34,1155,14,1021,2.429,1.131
2016 (سطح A),لیگ جهانی والیبال,صربستان,30,13,10,3,4,4,2,2,,1,34,1186,17,1102,2.000,1.076,34,1186,17,1102,2.000,1.076
2016 (سطح A),لیگ جهانی والیبال,فرانسه,26,13,8,5,6,1,1,3,2,,32,1192,18,1116,1.778,1.068,32,1192,18,1116,1.778,1.068
2016 (سطح A),لیگ جهانی والیبال,آمریکا,24,11,8,3,3,4,1,1,2,,28,1020,15,964,1.867,1.058,28,1020,15,964,1.867,1.058
2016 (سطح A),لیگ جهانی والیبال,ایتالیا,23,13,7,6,5,2,,2,,4,25,1044,20,1006,1.250,1.038,25,1044,20,1006,1.250,1.038
2016 (سطح A),لیگ جهانی والیبال,روسیه,15,9,5,4,3,2,,,,4,15,698,14,662,1.071,1.054,15,698,14,662,1.071,1.054
2016 (سطح A),لیگ جهانی والیبال,لهستان,10,11,4,7,,2,2,,3,4,15,947,27,1013,0.556,0.935,15,947,27,1013,0.556,0.935
2016 (سطح A),لیگ جهانی والیبال,ایران,9,9,4,5,,1,3,,3,2,15,777,22,861,0.682,0.902,15,777,22,861,0.682,0.902
2016 (سطح A),لیگ جهانی والیبال,بلژیک,11,9,3,6,2,,1,3,,3,15,760,20,779,0.750,0.976,15,760,20,779,0.750,0.976
2016 (سطح A),لیگ جهانی والیبال,آرژانتین,10,9,3,6,2,,1,2,3,1,16,824,20,835,0.800,0.987,16,824,20,835,0.800,0.987
2016 (سطح A),لیگ جهانی والیبال,بلغارستان,2,9,1,8,,,1,,5,3,8,706,26,810,0.308,0.872,8,706,26,810,0.308,0.872
2016 (سطح A),لیگ جهانی والیبال,استرالیا,1,9,0,9,,,,1,1,7,3,600,27,740,0.111,0.811,3,600,27,740,0.111,0.811
2015 (گروه A),لیگ جهانی والیبال,برزیل,28,12,9,3,4,3,2,3,,,33,1145,16,1038,2.063,1.103,33,1145,16,1038,2.063,1.103
2015 (گروه A),لیگ جهانی والیبال,صربستان,23,12,7,5,2,3,2,4,1,,30,1180,22,1152,1.364,1.024,30,1180,22,1152,1.364,1.024
2015 (گروه A),لیگ جهانی والیبال,ایتالیا,16,12,6,6,1,2,3,1,2,3,22,1073,26,1096,0.846,0.979,22,1073,26,1096,0.846,0.979
2015 (گروه A),لیگ جهانی والیبال,استرالیا,5,12,2,10,1,,1,,5,5,11,931,32,1043,0.344,0.893,11,931,32,1043,0.344,0.893
2015 (گروه B),لیگ جهانی والیبال,آمریکا,27,12,9,3,2,6,1,1,,2,29,1071,17,992,1.706,1.08,29,1071,17,992,1.706,1.08
2015 (گروه B),لیگ جهانی والیبال,لهستان,22,12,8,4,1,3,4,2,2,,30,1179,23,1138,1.304,1.036,30,1179,23,1138,1.304,1.036
2015 (گروه B),لیگ جهانی والیبال,ایران,18,12,6,6,4,1,1,1,5,,25,1031,21,1021,1.190,1.01,25,1031,21,1021,1.190,1.01
2015 (گروه B),لیگ جهانی والیبال,روسیه,5,12,1,11,,1,,2,4,5,11,946,34,1076,0.324,0.879,11,946,34,1076,0.324,0.879
2019, لیگ ملت‌های والیبال,برزیل,39,15,14,1,6,4,4,1,,,44,1408,15,1218,2.933,1.156,44,1408,15,1218,2.933,1.156
2019, لیگ ملت‌های والیبال,ایران,36,15,12,3,7,4,1,1,,2,38,1276,15,1173,2.533,1.088,38,1276,15,1173,2.533,1.088
2019, لیگ ملت‌های والیبال,روسیه,34,15,12,3,6,4,2,,1,2,37,1284,17,1164,2.176,1.103,37,1284,17,1164,2.176,1.103
2019, لیگ ملت‌های والیبال,فرانسه,34,15,11,4,5,6,,1,3,,38,1341,18,1251,2.111,1.072,38,1341,18,1251,2.111,1.072
2019, لیگ ملت‌های والیبال,لهستان,30,15,11,4,2,5,4,1,3,,38,1465,25,1397,1.520,1.049,38,1465,25,1397,1.520,1.049
2019, لیگ ملت‌های والیبال,آمریکا,28,15,9,6,3,6,,1,3,2,32,1317,24,1258,1.333,1.047,32,1317,24,1258,1.333,1.047
