نقل و انتقال,سال,تیم,ورودی ، قطعی,ورودی ، قرضی (بازگشت),ورودی ، قرضی,ورودی ، احتمالی,خروجی ، قطعی,خروجی ، قرضی (بازگشت),خروجی ، قرضی,خروجی ، احتمالی
نقل و انتقالات لیگ برتر ,99-00,استقلال,"['بابک مرادی', 'سید احمد موسوی', 'متین کریم زاده', 'محمد  نادری', 'محمد رشید مظاهری', 'محمدحسین مرادمند', 'مهدی مهدی پور']",['سجاد آقایی'],[],[],"['شاهین طاهرخانی', 'سیدحسین حسینی', 'علی  دشتی', 'محسن کریمی', 'میلاد زکی پور', 'زکریا مرادی', 'روزبه چشمی', 'عبدالعظیم  گوگ', 'علی کریمی', 'مرتضی تبریزی']",[],"['حسین پورحمیدی', 'محمد  بلبلی']",['سیدحسین حسینی']
نقل و انتقالات لیگ برتر ,99-00,آلومینیوم اراک,"['اسماعیل شریفات', 'پوریا آریاکیا', 'جابر انصاری', 'شاهین توکلی', 'عزیز معبودی', 'محسن ربیع خواه', 'محمد ایران\u200c پوریان', 'مرتضی آقاخان', 'مصطفی احمدی']",[],['حسین پورحمیدی'],[],['محمود قائد رحمتی'],['امیرحسین جدی'],[],[]
نقل و انتقالات لیگ برتر ,99-00,پارس جنوبی جم,[],[],[],[],"['پوریا آریاکیا', 'متین کریم زاده', 'محمد نوری', 'فریبرز گرامی', 'رضا خالقی فر', 'علی عبدالله زاده', 'محسن فروزان', 'ایمان باصفا', 'میلاد  خدایی']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,پرسپولیس,"['آرمان رمضانی', 'احسان پهلوان', 'حامد لک', 'سعید آقایی', 'علی شجاعی', 'عیسی آل کثیر', 'محمد شریفی', 'محمد مهدی مهدی خانی', 'میلاد سرلک', 'فرشاد فرجی']",[],[],['فرشاد فرجی'],"['علیرضا بیرانوند', 'محمد  نادری', 'شجاع خلیل زاده', 'علی علیپور', 'محسن ربیع خواه', 'مهدی ترابی', 'کریستین  اوساگوآنا']",[],['امیر روستایی'],[]
نقل و انتقالات لیگ برتر ,99-00,پیکان,"['اسماعیل بابایی', 'حسین حیدری', 'رضا جبیره', 'شاهین طاهرخانی', 'فرزاد حاتمی', 'مجید عیدی', 'محمد دریس', 'محمد نوری', 'محمدامین درویشی', 'معراج اسماعیلی', 'معین عباسیان', 'مهدی شریفی']",['امیرحسین جدی'],['امیر روستایی'],[],"['جابر انصاری', 'سعید واسعی', 'جلال الدین علی محمدی', 'امیرحسین کریمی', 'سیدمهران موسوی', 'فراز امامعلی', 'شهریار مغانلو', 'علی حمودی', 'محمد دریس']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,تراکتور,"['امین اسدی', 'حبیب فرعباسی', 'حمید بوحمدان', 'سعید واسعی', 'عکاشه حمزاوی', 'محمد خرم\u200c الحسینی', 'محمد عباس زاده', 'محمد قادری', 'محمد مسلمی پور', 'محمد مهدی قنبری', 'هادی محمدی', 'وفا هخامنش', 'امین قاسمی نژاد', 'سیدحسین حسینی']",['ابوالفضل رزاق پور'],[],"['امین قاسمی نژاد', 'سیدحسین حسینی']","['محمد رشید مظاهری', 'رضا اسدی', 'ساسان انصاری', 'ایمان سلیمی', 'محمدرضا  آزادی']",[],['ابوالفضل رزاق پور'],[]
نقل و انتقالات لیگ برتر ,99-00,ذوب آهن,"['ابوالفضل  عکاشه', 'دانیال مومنی', 'شهاب گردان', 'عبدالله حسینی', 'علی  دشتی', 'علی نبی زاده', 'محمد قریشی', 'مهرداد قنبری', 'میلاد جهانی']",[],[],[],"['مهدی مهدی پور', 'احسان پهلوان', 'معراج اسماعیلی', 'حمید بوحمدان', 'هادی محمدی', 'وفا هخامنش', 'دانیال اسماعیلی فر', 'محمد نژادمهدی', ' مهران  درخشان مهر', 'محمدرضا عباسی', 'محمد باقر صادقی', 'رحیم زهیوی']",['سجاد آقایی'],[],[]
نقل و انتقالات لیگ برتر ,99-00,سایپا,"['حسین مالکی', 'حسین ماهینی', 'حمید گلزاری', 'فریبرز گرامی', 'محسن مسلمان', 'مهرداد حیدری', 'مهرداد عبدی', 'کوروش ملکی']",[],[],[],"['مرتضی آقاخان', 'آرمان رمضانی', 'محمد شریفی', 'معین عباسیان', 'آرمین سهرابیان', 'امیر مهدی جانملکی', 'روزبه شاه علی دوست', 'سعید بیگی', ' مصطفی  نائیج پور', 'حامد فلاح زاده', 'خالد شفیعی']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,سپاهان,"['جلال الدین علی محمدی', 'دانیال اسماعیلی فر', 'روح الله باقری', 'سبحان پسندیده', 'علیرضا صادقی', 'محمد نژادمهدی', 'محمدرضا خلعتبری']",[],[],[],"['محمد ایران\u200c پوریان', 'سعید آقایی', 'ابوالفضل  عکاشه', 'محسن مسلمان', 'محمد طیبی', 'علیرضا نقی زاده', 'علی قربانی', 'ولادیمیر کومان']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,شاهین شهرداری‌بوشهر,[],[],[],[],"['اسماعیل شریفات', 'حسین مالکی', 'بهمن سالاری']",['ابوالفضل رزاق پور'],[],[]
نقل و انتقالات لیگ برتر ,99-00,شهر خودرو,"['احمد الجبوری', 'امیرحسین کریمی', 'بهتاش میثاقیان', 'رحمان جعفری', 'سعید جلالی راد', 'صادق صادقی بابااحمدی', 'عرفان معصومی', 'میلاد فراهانی']",[],[],[],"['محمدحسین مرادمند', 'میلاد سرلک', 'فرشاد فرجی', 'امین قاسمی نژاد', 'علی نبی زاده', 'محمدرضا خلعتبری', 'سعید صادقی', 'محمد آقاجانپور', 'محمد قاضی']",[],[],"['فرشاد فرجی', 'امین قاسمی نژاد']"
نقل و انتقالات لیگ برتر ,99-00,صنعت نفت آبادان,"['حامد فلاح زاده', 'حسن بیت سعید', 'حکیم نصاری', 'رضا خالقی فر', 'علی آل کثیر', 'علی پورمحمد', 'علی عبدالله زاده', 'فرزین گروسیان', 'محسن آقایی', 'محمد طیبی', 'مهدی زبیدی']",[],[],[],"['مصطفی احمدی', 'عیسی آل کثیر', 'رضا جبیره', 'محمد دریس', 'محمد قریشی', 'میلاد جهانی', 'مهدی مومنی', 'عقیل کعبی', 'ناصر سالاری', 'مسلم  مجدمی']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,فولاد,"[' مهران  درخشان مهر', 'بهزاد دودانگه', 'حسین ابراهیمی', 'ساسان انصاری', 'سیدمهران موسوی', 'سینا شاه عباسی', 'شروین بزرگ', 'عارف غلام\u200cپور', 'علی سبحانی', 'محسن فروزان', 'محمد میری', 'محمدرضا عباسی']",[],[],[],"['شهاب گردان', 'حسن بیت سعید', 'عباس بوعذار', 'امیرحسین باقرپور', 'هیثم هاشمی\u200cزاده']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,گل گهرسیرجان,"['آرمین سهرابیان', 'رضا  شربتی', 'سعید صادقی', 'علی اصغر عاشوری', 'علیرضا آرتا', 'علیرضا حقیقی', 'علیرضا علیزاده', 'محسن کریمی', 'میلاد زکی پور']",[],[],[],"['سید احمد موسوی', 'عبدالله حسینی', 'مهرداد عبدی', 'میلاد فراهانی', 'فرشاد بیابانی', 'سجاد آشوری', 'مهرداد بایرامی', 'میلاد  کمندانی']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,ماشین‌سازی‌تبریز,"['اکبر آفاقی', 'ایمان باصفا', 'بهمن سالاری', 'پیمان  بابایی', 'سید محمد حسینی', 'سیروس صادقیان', 'فرشاد اسدی', 'فرشاد بیابانی', 'محمد باقر صادقی', 'مهدی رستمی', 'مهدی مومنی', 'میلاد  خدایی']",[],['ابوالفضل رزاق پور'],[],"['شاهین توکلی', 'بابک مرادی', 'حامد لک', 'محمد خرم\u200c الحسینی', 'محمد قادری', 'محمد مسلمی پور', 'علی آل کثیر', 'قائم اسلامی خواه', 'مسیح زاهدی', 'فرید بهزادی کریمی', 'عزیز معبودی', 'علیرضا حیدری']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,مس رفسنجان,"['امید لطیفی', 'حسین شنانی', 'داود نوشی صوفیانی', 'رحیم زهیوی', 'سجاد آشوری', 'سعید کریمی', 'عقیل کعبی', 'علیرضا دغاغله', 'علیرضا نقی زاده', 'عماد  میرجوان', 'فراز امامعلی', 'قائم اسلامی خواه', 'محمد آقاجانپور', 'محمد قاضی', 'مسیح زاهدی', 'میثم نقی زاده', 'ناصر سالاری']",[],[],[],"['حمید گلزاری', 'کوروش ملکی', 'علی پورمحمد']",[],[],[]
نقل و انتقالات لیگ برتر ,99-00,ملوان,['زکریا مرادی'],[],[],[],[],[],[],[]
