Year,Stage,team1,team2,score1,score2,time,date,Penalty1,Penalty2
جام جهانی 2014,جام جهانی يک هشتم نهايي  ,شیلی,برزیل,1,1,20:30,1393/04/07,3,2
جام جهانی 2014,جام جهانی يک هشتم نهايي  ,اروگوئه,کلمبیا,0,2,00:30,1393/04/08,0,0
جام جهانی 2014,جام جهانی يک هشتم نهايي  ,نیجریه,فرانسه,0,2,20:30,1393/04/09,0,0
جام جهانی 2014,جام جهانی يک هشتم نهايي  ,الجزایر,آلمان,1,2,00:30,1393/04/10,0,0
جام جهانی 2014,جام جهانی يک هشتم نهايي  ,مکزیک,هلند,1,2,20:30,1393/04/08,0,0
جام جهانی 2014,جام جهانی يک هشتم نهايي  ,یونان,کاستاریکا,1,1,00:30,1393/04/09,5,3
جام جهانی 2014,جام جهانی يک هشتم نهايي  ,سوئیس,آرژانتین,0,1,20:30,1393/04/10,0,0
جام جهانی 2014,جام جهانی يک هشتم نهايي  ,آمریکا,بلژیک,1,2,00:30,1393/04/11,0,0
جام جهانی 2014,جام جهانی يک چهارم نهايي  ,کلمبیا,برزیل,1,2,00:30,1393/04/14,0,0
جام جهانی 2014,جام جهانی يک چهارم نهايي  ,آلمان,فرانسه,1,0,20:30,1393/04/13,0,0
جام جهانی 2014,جام جهانی يک چهارم نهايي  ,کاستاریکا,هلند,0,0,00:30,1393/04/15,4,3
جام جهانی 2014,جام جهانی يک چهارم نهايي  ,بلژیک,آرژانتین,0,1,20:30,1393/04/14,0,0
جام جهانی 2014,جام جهانی نيمه نهايي  ,آلمان,برزیل,7,1,00:30,1393/04/18,0,0
جام جهانی 2014,جام جهانی نيمه نهايي  ,آرژانتین,هلند,0,0,00:30,1393/04/19,2,4
جام جهانی 2014,جام جهانی فينال  ,آرژانتین,آلمان,0,1,23:30,1393/04/22,0,0
جام جهانی 2018,جام جهانی يک هشتم نهايی  ,پرتغال,اروگوئه,1,2,22:30,1397/04/09,0,0
جام جهانی 2018,جام جهانی يک هشتم نهايی  ,آرژانتین,فرانسه,3,4,18:30,1397/04/09,0,0
جام جهانی 2018,جام جهانی يک هشتم نهايی  ,مکزیک,برزیل,0,2,18:30,1397/04/11,0,0
جام جهانی 2018,جام جهانی يک هشتم نهايی  ,ژاپن,بلژیک,2,3,22:30,1397/04/11,0,0
جام جهانی 2018,جام جهانی يک هشتم نهايی  ,روسیه,اسپانیا,1,1,18:30,1397/04/10,3,4
جام جهانی 2018,جام جهانی يک هشتم نهايی  ,دانمارک,کرواسی,1,1,22:30,1397/04/10,3,2
جام جهانی 2018,جام جهانی يک هشتم نهايی  ,سوئیس,سوئد,0,1,18:30,1397/04/12,0,0
جام جهانی 2018,جام جهانی يک هشتم نهايی  ,انگلیس,کلمبیا,1,1,22:30,1397/04/12,3,4
جام جهانی 2018,جام جهانی يک چهارم نهايی  ,فرانسه,اروگوئه,2,0,18:30,1397/04/15,0,0
جام جهانی 2018,جام جهانی يک چهارم نهايی  ,بلژیک,برزیل,2,1,22:30,1397/04/15,0,0
جام جهانی 2018,جام جهانی يک چهارم نهايی  ,کرواسی,روسیه,2,2,22:30,1397/04/16,3,4
جام جهانی 2018,جام جهانی يک چهارم نهايی  ,انگلیس,سوئد,2,0,18:30,1397/04/16,0,0
جام جهانی 2018,جام جهانی نيمه نهايی  ,بلژیک,فرانسه,0,1,22:30,1397/04/19,0,0
جام جهانی 2018,جام جهانی نيمه نهايی  ,انگلیس,کرواسی,1,2,22:30,1397/04/20,0,0
جام جهانی 2018,جام جهانی رده‌بندي  ,انگلیس,بلژیک,0,2,18:30,1397/04/23,0,0
جام جهانی 2018,جام جهانی فينال  ,کرواسی,فرانسه,2,4,19:30,1397/04/24,0,0
