year,fac_no,name,beg_date,end_date,county_name,type_centrl,patient_days,tot_hc_rev,tot_hc_exp,nonhc_net,inc_tax,ext_item,net_income
2015,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,44998,14373456,13418298,0,12590,0,942568
2014,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,44246,12948059,12287079,0,12590,0,648390
2013,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,42097,12758696,11698888,0,12590,-30174,1077392
2012,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,43421,11868015,11046671,0,12590,0,808754
2011,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,42496,11419064,10617677,0,12590,0,788797
2015,206010744,ASHBY CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,10922,1760375,1809100,0,822,0,-49547
2014,206010744,ASHBY CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,10274,1848492,1793411,-596,822,0,53663
2013,206010744,ASHBY CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,10935,1835632,1836719,195,8613,0,-9505
2012,206010744,ASHBY CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,10924,2076132,1876065,0,1472,0,198595
2011,206010744,ASHBY CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,10536,1936396,1878406,-861,0,0,57129
2015,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,12365,3776883,3507812,-41612,0,0,227459
2014,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,10960,3243602,3247990,-16403,0,0,-20791
2013,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,11237,3404914,3454510,-24631,0,0,-74227
2012,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,11566,3518416,3481836,-25098,0,0,11482
2011,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,11546,3486455,3422585,-22329,0,0,41541
2015,206010749,ST. FRANCIS EXTENDED CARE,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,22063,6132931,5717143,1372,0,0,417160
2014,206010749,ST. FRANCIS EXTENDED CARE,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,21907,5699051,5568433,-2374,0,0,128244
2013,206010749,ST. FRANCIS EXTENDED CARE,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,21336,5328847,5360804,1802,0,0,-30155
2012,206010749,ST. FRANCIS EXTENDED CARE,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,21261,5188459,5487904,3197,0,0,-296248
2011,206010749,ST. FRANCIS EXTENDED CARE,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,21218,5263895,5086842,3825,0,0,180878
2015,206010750,HILLTOP CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,22642,5173744,5823796,3059,800,0,-647793
2014,206010750,HILLTOP CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,22970,5446866,5818836,762,800,0,-372008
2013,206010750,HILLTOP CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,22984,5123497,5549695,645,800,0,-426353
2012,206010750,HILLTOP CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,23376,4865161,5271254,811,800,0,-406082
2011,206010750,HILLTOP CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,24073,4998104,5759904,1282,800,0,-761318
2015,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,12229,3155986,3076511,120,0,0,79595
2014,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,12846,3175706,3192298,7721,0,0,-8871
2013,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,12705,3173350,3240881,24,0,0,-67507
2012,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,12844,3536936,3332343,3396,0,0,207989
2011,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,12718,3352364,3139562,-251312,0,0,-38510
2015,206010760,BETHESDA HOME,6/1/2014 0:00,5/31/2015 0:00,Alameda,Not-for-Profit,14486,3083949,3338485,189577,0,0,-64959
