Callsign,OperatedBy,From,To,Aircraft,Altitude,Latitude,Longitude,PositionTime,Speed,VerticalSpeed
074eb5d9-dedc-4a07-bbe0-885e2489684b,TAP1027,TAP Portugal,NO_FROM,NO_TO,Airbus A319 111,13250,40.63678,-3.927429,1531149302602,341.1,3776
e622fa62-9866-4cb7-9903-9e8bdd84612e,RYR96SL,Ryanair,EPMO Modlin Warsaw Poland,LGTS Thessaloniki Macedonia Greece,Boeing 737NG 800/W,15950,40.806202,-3.220118,1531149307818,338.1,1408
b02db257-a85a-4665-ab45-1f26ab7cc998,NO_CALL,Ryanair,NO_FROM,NO_TO,Boeing 737NG 8AS/W,17900,40.977493,-3.265076,1531149307818,355.2,3584
5eda2d3f-8256-4edd-8f16-4fd0f71b75f0,NO_CALL,easyJet,NO_FROM,NO_TO,Airbus A320 214SL,15300,40.931893,-3.636849,1531149307818,336.9,832
012f2719-0e05-4f8a-be44-9d813bad387b,IBE32SR,NO_OP,NO_FROM,NO_TO,NO_AIRCRAFT,16600,40.531723,-2.996399,1531149307818,434.1,768
65cf2ba3-00dd-4481-bfcf-8b45d0b80801,RYR56UD,Ryanair,LEMD Madrid Barajas Spain,EGNT Newcastle United Kingdom,Boeing 737NG 8AS/W,20925,41.15419,-3.65155,1531149302602,394.3,2560
fd2205ab-ab45-41fb-b9cd-795eaeb69a1f,IBE31EE,Iberia,LPPT Lisbon Portela Portugal,LEMD Madrid Barajas Spain,Airbus A320 214,20850,41.256592,-3.549622,1531149307818,388.8,1472
ef0cf769-5146-4326-9454-7a1a7fc2f9d5,IBE6117,Iberia,LEMD Madrid Barajas Spain,KMIA Miami United States,Airbus A330 302,21400,40.575302,-4.825134,1531149307818,393.0,576
91d24a44-c556-4e04-9587-6654806af7e0,CASA331,Republic of Korea Air Force,NO_FROM,NO_TO,Airbus A330 243MRTT,23950,39.800301,-4.376587,1531149307818,365.8,704
bd7dc581-adac-454e-82f7-78c14c03d231,AEA7236,Air Europa,NO_FROM,NO_TO,Embraer EMB-195 LR,15875,40.240965,-4.342533,1531149307787,288.4,-1280
ea426f33-8f4b-488c-b5a6-f76cbce1ec52,THY1JR,Turkish Airlines,LTBA Atatürk Istanbul Turkey,EGLL London Heathrow United Kingdom,Boeing 737NG 8F2/W,36000,40.255861,-3.652143,1531149302587,513.0,0
c4c9d4e9-a9cb-44e8-9334-5ffbb651611d,VLG26ZE,Vueling Airlines,LEMG Málaga Spain,LEBB Bilbao Spain,Airbus A320 214,34025,40.039813,-3.360381,1531149307787,437.0,64
aecd96db-8bd5-44c6-92d0-981a6490c887,IBK5106,Norwegian Air International,LEMG Málaga Spain,EDDV Hannover Germany,Boeing 737NG 8JP/W,34000,40.094238,-2.635803,1531149307787,438.0,0
5dd99346-cf40-4bef-9268-ffffc54e75dc,SAS6202,Scandinavian Airlines System,NO_FROM,NO_TO,Airbus A320 251NSL,38000,40.342575,-3.351013,1531149307787,435.2,-64
a4d17347-7197-4198-9c6b-203c0d9abcf4,RYR2064,Ryanair,LEPA Palma De Mallorca Spain,LEMD Madrid Barajas Spain,Boeing 737NG 8AS/W,11450,40.207168,-2.813311,1531149307787,294.8,-1280
5790ccdf-d331-4dc9-bf89-377a5caa19f8,IBS3761,Iberia Express,LEPA Palma De Mallorca Spain,LEMD Madrid Barajas Spain,Airbus A320 214,8700,40.244922,-3.100704,1531149302587,249.1,-1856
22de7d44-b754-4b13-b7fc-701de84394ed,SAS6004,Scandinavian Airlines Ireland,NO_FROM,NO_TO,Airbus A320 251NSL,36025,40.891983,-3.238525,1531149302587,439.1,0
fb2e7ee1-d420-4a26-8722-7524953bc6e3,AMX021,AeroMexico,MMMX Licenciado Benito Juarez Mexico City Mexico,LEMD Madrid Barajas Spain,B787-9,6250,40.235001,-3.562317,1531149307787,255.4,-768
